otherCatalogNumbers,eventID,catalogNumber,institutionCode,individualCount,basisOfRecord,preparations,imageLocation,typeStatus,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,eventRemarks,identificationQualifier,identifiedBy,identificationRemarks,waterBody,verbatimLocality,recordedBy,samplingProtocol,continent,countryCode,country,stateProvince,county,decimalLatitude,decimalLongitude,geodeticDatum,eventDate
TZ001,TAFIRI-2019.05.16-MG01-A,,,1,PreservedSpecimen,EtOH,DSC00360,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,niloticus,"(Linnaeus, 1758)",,,mtDNA,MG: nilo x uro hybrid,Ruvu River,"Kingolwira National Aquaculture Centre, pond A",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,,-6.75592,37.7547,,2019-05-16
TZ002,TAFIRI-2019.05.16-MG01-A,,,1,PreservedSpecimen,EtOH,DSC00361,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,niloticus,"(Linnaeus, 1758)",,,mtDNA,MG: nilo x uro hybrid,Ruvu River,"Kingolwira National Aquaculture Centre, pond A",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,,-6.75592,37.7547,,2019-05-16
TZ003,TAFIRI-2019.05.16-MG01-A,,,1,PreservedSpecimen,EtOH,DSC00362,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,niloticus,"(Linnaeus, 1758)",,,mtDNA,MG: mostly nilo,Ruvu River,"Kingolwira National Aquaculture Centre, pond A",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,,-6.75592,37.7547,,2019-05-16
TZ004,TAFIRI-2019.05.16-MG01-A,,,1,PreservedSpecimen,EtOH,DSC00364,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,niloticus,"(Linnaeus, 1758)",,,mtDNA,MG: mostly nilo,Ruvu River,"Kingolwira National Aquaculture Centre, pond A",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,,-6.75592,37.7547,,2019-05-16
TZ005,TAFIRI-2019.05.16-MG01-A,,,1,PreservedSpecimen,EtOH,DSC00365,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,niloticus,"(Linnaeus, 1758)",,,mtDNA,,Ruvu River,"Kingolwira National Aquaculture Centre, pond A",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,,-6.75592,37.7547,,2019-05-16
TZ006,TAFIRI-2019.05.16-MG01-A,,,1,PreservedSpecimen,EtOH,DSC00366,Other material,genus,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,,,,sp. ‘gift strain’,mtDNA,,Ruvu River,"Kingolwira National Aquaculture Centre, pond A",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,,-6.75592,37.7547,,2019-05-16
TZ007,TAFIRI-2019.05.16-MG01-A,,,1,TissueSample,EtOH,,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,niloticus,"(Linnaeus, 1758)",,,mtDNA,,Ruvu River,"Kingolwira National Aquaculture Centre, pond A",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,,-6.75592,37.7547,,2019-05-16
TZ008,TAFIRI-2019.05.16-MG01-B,,,1,PreservedSpecimen,EtOH,DSC00371,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,niloticus,"(Linnaeus, 1758)",,,mtDNA,,Ruvu River,"Kingolwira National Aquaculture Centre, pond B",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,,-6.75592,37.7547,,2019-05-16
TZ009,TAFIRI-2019.05.16-MG01-B,,,1,PreservedSpecimen,EtOH,DSC00373,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,niloticus,"(Linnaeus, 1758)",,,mtDNA,MG: nilo x leuco hybrid?,Ruvu River,"Kingolwira National Aquaculture Centre, pond B",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,,-6.75592,37.7547,,2019-05-16
TZ010,TAFIRI-2019.05.16-MG01-B,,,1,PreservedSpecimen,EtOH,DSC00374,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,niloticus,"(Linnaeus, 1758)",,,mtDNA,MG: nilo x leuco x uro?,Ruvu River,"Kingolwira National Aquaculture Centre, pond B",Rupert Collins; Asilatu Shechonge; Benjamin Ngatunga,Seine,Africa,TZ,Tanzania,Morogoro Region,,-6.75592,37.7547,,2019-05-16
